treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Fabrication de ↴,L'ordinateur de bureau,0.000006050000000,par étape de cycle de vie,La fabrication de l'ordinateur de bureau est l'étape du cycle de vie la plus impactante sur les ressources minérales et métalliques. C'est le rectangle le plus grand sur le Treemap !
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Fabrication de ↴,L'écran,0.000002210000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Transport de ↴,L'ordinateur de bureau,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Transport de ↴,L'écran,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Utilisation de ↴,L'ordinateur de bureau,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Utilisation de ↴,L'écran,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Fin de vie de ↴,L'ordinateur de bureau,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Fin de vie de ↴,L'écran,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Connexion internet,Fabrication,0.000000434000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Connexion internet,Utilisation,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Connexion internet,Fin de vie,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Serveurs,Fabrication,0.000000009070000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Serveurs,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Serveurs,Utilisation,0.000000000045800,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur fixe,Serveurs,Fin de vie,0.000000000045800,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Fabrication de la ↴,Console,0.000000004620000,par étape de cycle de vie,"Sur les particules fines, l'utilisation devient plus impactante. Cela vient du fait que les particules fines sont produites lors de la combustion de bois et d'énergies fossiles, donc au moment de l'utilisation de la console ou des autres équipements."
Jeu vidéo,Particules fines,Jouer sur console,Fabrication de la ↴,Télévision,0.000000000860000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Transport de la ↴,Console,0.000000000147000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Transport de la ↴,Télévision,0.000000000070500,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Utilisation de la ↴,Console,0.000000002460000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Utilisation de la ↴,Télévision,0.000000001830000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Fin de vie de la ↴,Console,0.000000000110000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Fin de vie de la ↴,Télévision,0.000000000056400,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Connexion internet,Fabrication,0.000000000143000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Particules fines,Jouer sur console,Connexion internet,Utilisation,0.000000000798000,par étape de cycle de vie,
